,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,1st School Rating,status,house_type,year_built,Lotsize,perSq_Ft,Price_Level
487,2546 3rd St #5,San francisco,Ca,94107,1550000,3 ,2.5,1585 ,93,66,95,56,6.0,Active,Condo,2002,4159.0,978.0,1
488,403 Main St Unit 803N,San francisco,Ca,94105,1349000,3 ,2.0,1360 ,89,100,82,11,6.0,Active,Condo,1997,0.0,992.0,1
489,2830 Pacific Ave,San francisco,Ca,94115,35000000,6 ,7.0,9625 ,91,73,59,45,4.0,Active,Single Family Residential,1910,9408.0,3636.0,1
490,121 Junipero Serra Blvd,San francisco,Ca,94127,5490000,5 ,4.0,5142 ,92,70,71,67,9.0,Active,Single Family Home,1924,10797.0,1068.0,1
491,4354 - 4356 20th St,San francisco,Ca,94114,1388000,4 ,4.0,3064 ,96,77,66,67,7.0,Active,Multi-Family (2-4 Unit),1925,1999.0,453.0,1
492,613 York St,San francisco,Ca,94110,2499000,4 ,3.0,3186 ,98,80,92,56,5.0,Active,Multi-Family (2-4 Unit),1900,2500.0,784.0,1
493,34 Topaz Way,San francisco,Ca,94131,1588000,3 ,2.5,1437.0,73,72,55,67,6.0,Active,Townhouse,1968,1759.0,0.0,1
494,66 Bishop St,San francisco,Ca,94134,799000,1 ,1.0,480 ,63,68,39,56,2.0,Active,Single Family Residential,1922,2500.0,1665.0,0
495,516 Arch St,San francisco,Ca,94132,1250000,3 ,1.5,1425 ,72,67,50,67,9.0,Active,Single Family Residential,1931,2500.0,877.0,1
496,262 3rd Ave Unit A,San francisco,Ca,94118,825000,2 ,1.0,797 ,99,70,88,45,8.0,Active,Condo,1903,3003.0,1035.0,0
497,137 Steiner St,San francisco,Ca,94117,1698000,7 ,5.5,2887 ,98,94,96,67,8.0,Active,Duplex,1900,2278.0,588.0,1
498,27 Morrell St,San francisco,Ca,94109,799000,2 ,1.0,1437.0,99,84,67,20,9.0,Active,Condo,1923,1337.0,0.0,0
499,273 Filbert St,San francisco,Ca,94133,1995000,5 ,4.0,3150 ,99,88,64,0,7.0,Active,Multi-Family (5+ Unit),1912,1498.0,633.0,1
500,4606 Cabrillo St,San francisco,Ca,94121,2150000,7 ,2.0,3520 ,79,62,89,45,9.0,Active,Multi-Family (2-4 Unit),1973,2395.0,611.0,1
501,10 Innes Ct #304,San francisco,Ca,94124,719000,2 ,2.0,1020 ,37,50,23,51,2.0,Active,Condo,2018,0.0,705.0,0
502,451 Kansas St #416,San francisco,Ca,94107,420516,1 ,1.0,693 ,97,74,72,56,6.0,Active,Condo,2007,0.0,607.0,0
503,1383 Revere Ave,San francisco,Ca,94124,1133333,2 ,2.0,1648 ,85,67,63,51,2.0,Active,Single Family Residential,1910,2495.0,688.0,1
504,1347 Hayes St,San francisco,Ca,94117,1195000,5 ,3.0,2027 ,98,81,89,45,9.0,Active,Condo,1885,3436.0,590.0,1
505,673 Andover St,San francisco,Ca,94110,999000,3 ,1.0,1200 ,91,76,65,56,3.0,Active,Single Family Residential,1906,1850.0,833.0,0
506,3212 Jackson St,San francisco,Ca,94118,9800000,7 ,7.0,6101 ,91,71,69,45,9.0,Active,Single Family Residential,1906,3831.0,1606.0,1
507,400 Beale St #2103,San francisco,Ca,94105,1495000,2 ,2.0,1074 ,92,100,60,11,6.0,Active,Condo,2001,0.0,1392.0,1
508,950 Tennessee St #310,San francisco,Ca,94107,1595000,2 ,2.0,1224 ,95,69,93,56,6.0,Active,Condo,2020,0.0,1303.0,1
509,2737 Bush St,San francisco,Ca,94115,1295000,2 ,2.0,1123 ,98,72,83,70,4.0,Active,Condo,1910,5156.0,1153.0,1
510,580 Hayes St #504,San francisco,Ca,94102,1095000,1 ,1.0,1437.0,99,98,89,45,5.0,Active,Condo,2018,0.0,0.0,1
511,201 Folsom St Unit 42AB,San francisco,Ca,94105,4995000,2 ,2.5,2476 ,96,100,67,11,6.0,Active,Condo,2016,0.0,2017.0,1
512,2900 Scott St,San francisco,Ca,94123,9500000,7 ,6.0,6670 ,97,72,63,45,4.0,Active,Single Family Residential,1909,5191.0,1424.0,1
513,246 2nd St #1701,San francisco,Ca,94105,3499000,3 ,3.0,2905 ,96,100,77,11,6.0,Active,Condo,2000,0.0,1204.0,1
514,776 Tehama St #12,San francisco,Ca,94103,495000,1 ,1.0,1437.0,99,100,99,35,6.0,Active,Condo,2006,5886.0,0.0,0
515,2241 Leavenworth St,San francisco,Ca,94133,2075000,3 ,2.0,1640 ,96,83,69,20,9.0,Active,Condo,1907,2680.0,1265.0,1
516,1598 Bay St #400,San francisco,Ca,94123,2349000,3 ,2.5,1382 ,97,74,94,45,6.0,Active,Condo,2018,0.0,1700.0,1
517,1300 22nd St #304,San francisco,Ca,94107,395945,1 ,1.0,672 ,93,70,71,56,6.0,Active,Condo,2016,0.0,589.0,0
518,31 Aladdin Ter,San francisco,Ca,94133,5850000,4 ,4.5,3665 ,99,82,65,20,9.0,Active,Single Family Residential,2023,0.0,1596.0,1
519,2942 22nd St,San francisco,Ca,94110,799000,2 ,1.0,1437.0,97,85,100,56,5.0,Active,Condo,1909,2273.0,0.0,0
520,15 Buena Vista Ter,San francisco,Ca,94117,7950000,5 ,4.5,7138 ,94,85,70,45,8.0,Active,Single Family Residential,1917,5000.0,1114.0,1
521,1788 Clay St #805,San francisco,Ca,94109,825000,1 ,1.0,671 ,99,86,85,20,5.0,Active,Condo,2014,0.0,1230.0,0
522,1230 Girard St,San francisco,Ca,94134,999000,5 ,2.0,1435 ,68,69,52,56,2.0,Active,Single Family Residential,1928,2996.0,696.0,0
523,1400 Mission St,San francisco,Ca,94103,559000,2 ,1.5,780 ,99,100,99,35,6.0,Active,Multi-Family (2-4 Unit),2015,0.0,717.0,0
524,630 - 632 Funston Ave,San francisco,Ca,94118,1950000,5 ,1.0,3688 ,89,71,97,55,9.0,Active,Multi-Family (2-4 Unit),1910,3000.0,529.0,1
525,1871 Green St,San francisco,Ca,94123,7575000,4 ,5.5,3508 ,99,82,58,45,6.0,Active,Single Family Residential,1885,3457.0,2159.0,1
526,2146 47th Ave,San francisco,Ca,94116,1198000,3 ,3.0,1481 ,64,56,75,67,9.0,Active,Single Family Residential,1938,3000.0,809.0,1
527,974 Geneva Ave #2,San francisco,Ca,94112,995000,4 ,4.0,1505 ,94,85,56,67,3.0,Active,Condo,2020,2500.0,661.0,0
528,875 Indiana St #424,San francisco,Ca,94107,899500,1 ,1.5,852 ,94,70,89,56,6.0,Active,Condo,2009,0.0,1056.0,0
529,849 Noe St #5,San francisco,Ca,94114,895000,1 ,1.0,1437.0,94,81,60,67,7.0,Active,Condo,1960,2250.0,0.0,0
530,482 Ellington Ave,San francisco,Ca,94112,936888,2 ,1.0,1060 ,87,81,50,67,5.0,Active,Single Family Home,1913,2495.0,884.0,0
531,2110 - A Pine St,San francisco,Ca,94115,799000,1 ,1.0,811 ,99,80,78,45,6.0,Active,Condo,1900,2461.0,985.0,0
532,1630 - 1634 Bush St,San francisco,Ca,94109,3650000,7 ,5.5,6741 ,99,84,82,0,6.0,Active,Multi-Family (5+ Unit),1900,2996.0,541.0,1
533,385 Eureka St,San francisco,Ca,94114,1875000,3 ,2.0,1329 ,91,74,66,67,7.0,Active,Single Family Residential,1922,1600.0,1411.0,1
534,2230 Francisco St #102,San francisco,Ca,94123,1299000,2 ,1.0,1068 ,98,66,94,45,4.0,Active,Condo,1930,6880.0,1216.0,1
535,2121 Mason St,San francisco,Ca,94133,1952000,3 ,2.5,1638 ,99,81,74,20,7.0,Active,Condo,1918,2326.0,1192.0,1
536,400 Avila St #301,San francisco,Ca,94123,1249000,2 ,1.0,830 ,92,65,91,45,6.0,Active,Condo,1991,0.0,1505.0,1
537,1688 Pine St Unit E302,San francisco,Ca,94109,1145000,2 ,2.0,989 ,99,85,79,45,6.0,Active,Condo,2016,0.0,1158.0,1
538,2121 Mason St Unit A,San francisco,Ca,94133,1450000,1 ,1.5,1171 ,99,81,74,20,7.0,Active,Condo,1918,2326.0,1238.0,1
539,3629 - 3631 Jackson St,San francisco,Ca,94118,6495000,3 ,2.5,2830 ,92,66,73,45,9.0,Active,Multi-Family (2-4 Unit),1913,3214.0,2295.0,1
540,45 Ney St,San francisco,Ca,94112,998000,3 ,2.0,1250 ,90,82,69,67,5.0,Active,Single Family Residential,1918,2495.0,798.0,0
541,550 Davis St #44,San francisco,Ca,94111,1950000,3 ,2.0,1520 ,98,100,85,35,9.0,Active,Condo,1981,0.0,1283.0,1
542,690 Chestnut St #109,San francisco,Ca,94133,799000,1 ,1.0,684 ,99,81,87,20,7.0,Active,Condo,1995,0.0,1168.0,0
543,855 Folsom St #525,San francisco,Ca,94107,999000,1 ,2.0,1349 ,97,100,90,55,6.0,Active,Condo,2001,0.0,741.0,0
544,502 Wisconsin St,San francisco,Ca,94107,969000,2 ,2.0,1050 ,95,72,60,56,6.0,Active,Condo,1978,0.0,923.0,0
545,1338 - 1340 17th Ave,San francisco,Ca,94122,1698000,4 ,2.0,2500 ,96,68,60,67,8.0,Active,Multi-Family (2-4 Unit),1946,2996.0,679.0,1
546,280 Spear St Unit 21D,San francisco,Ca,94105,1530000,2 ,2.0,1046 ,95,100,73,11,6.0,Active,Condo,2022,0.0,1463.0,1
547,1 Daniel Burnham Ct #217,San francisco,Ca,94109,695000,1 ,1.0,732 ,99,94,81,45,6.0,Active,Condo,1988,0.0,949.0,0
548,1 Hawthorne St Unit 15B,San francisco,Ca,94105,630000,1 ,1.0,558 ,97,100,74,11,6.0,Active,Condo,2010,0.0,1129.0,0
549,100 Brentwood Ave,San francisco,Ca,94127,3200000,4 ,4.0,3624 ,63,62,46,67,6.0,Active,Single Family Home,1929,4046.0,883.0,1
550,601 Van Ness Ave #328,San francisco,Ca,94102,399000,1 ,1.0,470 ,99,100,99,45,5.0,Active,Condo,1982,0.0,849.0,0
551,1322 Lyon St,San francisco,Ca,94115,1300000,3 ,1.0,1676 ,95,74,68,70,4.0,Active,Condo,1900,3072.0,776.0,1
552,262 Mangels Ave,San francisco,Ca,94131-1111,995000,3 ,2.0,1107 ,78,78,59,67,7.0,Active,Single Family Residential,1956,2809.0,899.0,0
553,201 - 205 Coleridge St,San francisco,Ca,94110,1895000,6 ,3.0,3870 ,95,76,72,56,3.0,Active,Multi-Family (2-4 Unit),1911,1750.0,490.0,1
554,633 29th Ave,San francisco,Ca,94121,1295000,3 ,2.0,1600 ,89,68,62,45,8.0,Active,Condo,1961,2996.0,809.0,1
555,631 29th Ave,San francisco,Ca,94121,1280000,3 ,2.0,1600 ,89,68,62,45,8.0,Active,Condo,1961,2996.0,800.0,1
556,4397 24th St,San francisco,Ca,94114,1250000,2 ,2.0,1196 ,87,60,67,67,7.0,Active,Condo,1913,7150.0,1045.0,1
557,533 Oak St,San francisco,Ca,94102,899000,3 ,1.0,1282 ,98,94,81,45,5.0,Active,Condo,1900,2178.0,701.0,0
558,65 Norfolk St #2,San francisco,Ca,94103,1150000,2 ,2.0,1741 ,98,99,99,35,6.0,Active,Condo,1993,2505.0,661.0,1
559,250 King St #812,San francisco,Ca,94107,735000,1 ,1.0,888 ,95,90,92,11,6.0,Active,Condo,2004,0.0,828.0,0
560,2046 Filbert St,San francisco,Ca,94123,5485000,3 ,4.0,3543 ,99,74,66,45,6.0,Active,Single Family Residential,1928,1821.0,1548.0,1
561,1158 Sutter St #8,San francisco,Ca,94109,849000,2 ,2.0,810 ,99,97,86,20,5.0,Active,Condo,2008,6000.0,1048.0,0
562,1163 - 1169 Alabama St Unit 1169A,San francisco,Ca,94110,749000,2 ,1.0,1039 ,98,82,100,56,4.0,Active,Condo,1900,3946.0,721.0,0
563,1693 Messina Dr,San jose,Ca,95132,1598000,4 ,2.0,1383 ,26,36,44,78,7.0,Active,Single Family Home,1971,6315.0,1155.0,1
564,50 N 9th St,San jose,Ca,95112,888888,3 ,2.0,1250 ,92,68,94,78,4.0,Coming Soon,Multi-Family (2-4 Unit),1898,3973.0,711.0,0
565,4935 Flat Rock Cir,San jose,Ca,95136,695000,2 ,1.5,988 ,32,47,57,67,5.0,Active,Townhouse,1984,2709.0,703.0,0
566,4049 Rio Ct,San jose,Ca,95134,750000,2 ,2.0,850 ,39,51,77,98,6.0,Active,Condo,1993,0.0,882.0,0
567,588 Saratoga Ave,Santa clara,Ca,95050,1499000,3 ,2.0,1694 ,63,41,82,83,5.0,Active,Single Family Home,1947,7200.0,885.0,1
568,1144 Ardsley Ct,San jose,Ca,95120,2680000,5 ,3.25,3697 ,53,32,65,84,8.0,Coming Soon,Single Family Residential,1990,10302.0,725.0,1
569,1887 Bethany Ave,San jose,Ca,95132,900000,3 ,2.0,1320 ,44,51,47,78,8.0,Active,Single Family Home,1973,6780.0,682.0,0
570,1088 Yarwood Ct,San jose,Ca,95128,525000,2 ,2.0,922 ,49,43,55,65,6.0,Active,Condo,1988,0.0,569.0,0
571,862 Tulane Ct,Mountain view,Ca,94040,2690000,3 ,2.5,1962 ,64,34,90,71,9.0,Active,Single Family Home,1952,5683.0,1371.0,1
572,10087 Lamplighter Sq,Cupertino,Ca,95014,1698000,3 ,2.5,1727 ,19,19,34,89,9.0,Active,Townhouse,1975,1684.0,983.0,1
573,1718 Holin St,San jose,Ca,95131,1545000,4 ,3.0,2009 ,56,58,76,91,8.0,New,Single Family Residential,1989,2640.0,769.0,1
574,22079 San Fernando Ct,Cupertino,Ca,95014,2490000,4 ,2.0,2054 ,38,20,52,80,9.0,Active,Single Family Home,1953,0.0,1212.0,1
575,3171 Loma Verde Pl,Palo alto,Ca,94303,2500000,4 ,3.0,2166 ,64,26,97,78,8.0,Active,Triplex,1961,6613.0,1154.0,1
576,20231 Blauer Dr,Saratoga,Ca,95070,3989000,4 ,3.0,2311 ,56,0,69,61,9.0,Active,Single Family Home,1955,0.0,1726.0,1
577,20018 Heritage Oak,Saratoga,Ca,95070,5989000,5 ,3.5,3773 ,38,0,50,47,9.0,Active,Single Family Home,1995,0.0,1587.0,1
578,1488 Kimberly Ct,San jose,Ca,95118,1750000,4 ,3.0,1713 ,38,27,56,82,7.0,Active,Single Family Home,1961,0.0,1022.0,1
579,1225 Vienna Dr #85,Sunnyvale,Ca,94089,170000,3 ,2.0,1700 ,45,45,77,0,6.0,Active,Double-Wide Mobile Home,2001,0.0,100.0,0
580,259 Sumba Ct,San jose,Ca,95123,699000,3 ,2.0,1246 ,65,44,54,67,5.0,Active,Condo,1986,1250.0,561.0,0
581,559 Menker Ave,San jose,Ca,95128,995990,2 ,1.0,855 ,73,50,65,61,5.0,New,Single Family Residential,1950,6350.0,1165.0,0
582,14225 Lora Dr #70,Los gatos,Ca,95032,599000,2 ,1.0,996 ,37,0,29,51,9.0,Active,Condo,1963,0.0,601.0,0
583,2382 Stratford Dr,San jose,Ca,95124,1200000,4 ,2.0,1552 ,65,35,70,82,7.0,Active,Single Family Home,1959,7414.0,773.0,1
584,18310 Shadowbrook Way,Morgan hill,Ca,95037,1400000,4 ,2.5,2176 ,24,32,43,50,4.0,Active,Duplex,1977,8452.0,643.0,1
585,247 N Capitol Ave #170,San jose,Ca,95127,550000,2 ,2.0,955 ,43,55,56,63,5.0,Active,Condo,1977,0.0,576.0,0
586,1225 Vienna Dr #674,Sunnyvale,Ca,94089,175000,2 ,2.0,1440 ,54,47,72,0,6.0,Active,Double-Wide Mobile Home,1975,0.0,122.0,0
587,555 Byron St #201,Palo alto,Ca,94301,1685000,3 ,2.5,1844 ,89,50,90,78,8.0,Active,Condo,1997,0.0,914.0,1
588,10536 S Tantau Ave,Cupertino,Ca,95014,1868000,2 ,1.0,814 ,57,43,74,84,9.0,Active,Single Family Home,1953,5281.0,2295.0,1
589,2091 Flintcrest Dr,San jose,Ca,95148,888888,4 ,2.5,1774 ,17,28,57,78,5.0,Active,Single Family Home,1981,6043.0,501.0,0
590,216 Mountain Springs Dr #216,San jose,Ca,95136,348888,3 ,2.0,1728 ,20,30,45,0,5.0,Active,Triple-Wide Mobile Home,1980,0.0,202.0,0
591,897 Coe Ave,San jose,Ca,95125,1499000,2 ,2.0,1176 ,83,48,86,91,5.0,Active,Single Family Home,1929,4500.0,1275.0,1
592,614 Coyote Rd,San jose,Ca,95111,699000,3 ,1.0,907 ,29,42,55,78,4.0,Active,Single Family Home,1958,5363.0,771.0,0
593,1022 Helen Ave,Santa clara,Ca,95051,939900,3 ,2.5,1218 ,82,42,66,76,6.0,Active,Townhouse,1981,959.0,772.0,0
594,1404 Via Del Los Grande,San jose,Ca,95120,1899888,4 ,2.0,1800 ,16,24,17,94,8.0,Active,Single Family Home,1973,0.0,1055.0,1
595,20312 Pinntage Pkwy,Cupertino,Ca,95014,1228000,2 ,2.5,1497 ,78,48,76,84,9.0,Active,Townhouse,1984,933.0,820.0,1
596,2580 Senter Rd #413,San jose,Ca,95111,219900,2 ,2.0,880 ,59,41,74,0,5.0,Active,Double-Wide Mobile Home,1978,0.0,250.0,0
597,2579 Flory Dr,San jose,Ca,95121,999000,4 ,2.0,1542 ,40,44,46,78,5.0,Active,Single Family Residential,1979,6508.0,648.0,0
598,2035 Veronica Pl,San jose,Ca,95124,1875000,4 ,3.0,2164 ,76,38,70,79,7.0,Active,Single Family Home,1959,9271.0,866.0,1
599,148 Menard Dr,San jose,Ca,95138,1399000,4 ,2.5,1693 ,16,27,60,67,6.0,Active,Single Family Home,1992,4660.0,826.0,1
600,353 Market St,Los gatos,Ca,95032,1980000,3 ,2.5,2026 ,49,0,76,51,6.0,Active,Single Family Home,2017,3125.0,977.0,1
601,1460 Cherry Cir,Milpitas,Ca,95035,729000,1 ,1.5,910 ,48,65,62,84,7.0,Active,Townhouse,2018,342.0,801.0,0
602,240 Garden Hill Dr,Los gatos,Ca,95032,1989000,3 ,2.0,1150 ,39,0,74,80,9.0,Active,Single Family Home,1959,9537.0,1730.0,1
603,1624 Poppy Way,Cupertino,Ca,95014,2698000,4 ,2.5,2169 ,69,20,69,89,9.0,Active,Single Family Home,1964,6127.0,1244.0,1
604,204 Pine Wood Ln,Los gatos,Ca,95032,1375000,3 ,2.5,1454 ,43,0,50,51,9.0,Active,Townhouse,1972,1637.0,946.0,1
605,8205 Wren Ave,Gilroy,Ca,95020,2666000,10 ,6.5,5281 ,81,0,78,0,5.0,Active,5+ Units,1971,10093.0,505.0,1
606,1078 W Knickerbocker Dr,Sunnyvale,Ca,94087,1798000,3 ,1.0,1041 ,39,36,76,85,9.0,Active,Single Family Home,1953,5914.0,1727.0,1
607,17446 Serene Dr,Morgan hill,Ca,95037,2495000,4 ,3.5,3408 ,23,25,45,50,5.0,Active,Single Family Home,1992,0.0,732.0,1
608,420 San Eduardo Ter,Sunnyvale,Ca,94085,1399988,3 ,3.5,1691 ,72,39,81,80,5.0,Active,Townhouse,2011,1027.0,828.0,1
609,1905 Byron St,Palo alto,Ca,94301,8080000,5 ,4.0,3297 ,50,28,93,86,7.0,Active,Single Family Home,2023,7322.0,2451.0,1
610,100 Maria Teresa Ct,Los gatos,Ca,95032,2698000,4 ,3.0,2325 ,48,0,53,54,9.0,Active,Single Family Home,1980,10168.0,1160.0,1
611,192 Lawton Dr,Milpitas,Ca,95035,1895000,6 ,3.0,2484 ,70,25,65,78,5.0,Active,Single Family Home,1959,6300.0,763.0,1
612,2887 Kearney Ave,Santa clara,Ca,95051,1100000,3 ,1.5,1034 ,45,35,66,86,5.0,Active,Single Family Home,1958,5777.0,1064.0,1
613,5403 Colony Park Cir,San jose,Ca,95123,1150000,3 ,2.0,1260 ,13,0,60,67,5.0,Active,Townhouse,1984,1136.0,913.0,1
614,600 E Weddell Dr #249,Sunnyvale,Ca,94089,320000,3 ,2.0,1562 ,39,45,71,0,4.0,Active,Double-Wide Mobile Home,1996,0.0,205.0,0
615,423 Dayton Ave,Santa clara,Ca,95051,1788000,3 ,1.5,1025 ,56,36,64,92,9.0,Active,Single Family Home,1958,10335.0,1744.0,1
616,191 El Bosque #191,San jose,Ca,95134,245000,3 ,2.0,1344 ,34,55,82,0,6.0,Active,Double-Wide Mobile Home,1971,0.0,182.0,0
617,1233 Avenida Benito,San jose,Ca,95131,1048000,2 ,2.5,1481 ,61,45,73,64,5.0,Active,Townhouse,2006,0.0,708.0,1
618,132 Chateau La Salle Dr #132,San jose,Ca,95111,579900,3 ,2.0,1830 ,60,44,57,0,5.0,Active,Double-Wide Mobile Home,2022,0.0,317.0,0
619,2210 Central Park Dr,Campbell,Ca,95008,2099950,4 ,2.5,2400 ,76,43,78,69,8.0,Active,Single Family Home,1965,9240.0,875.0,1
620,852 Tamarack Ave,San jose,Ca,95128,1299000,3 ,2.0,1784 ,67,44,74,61,5.0,Active,Single Family Home,1950,6164.0,728.0,1
621,5630 Allen Ave Apt 3,San jose,Ca,95123,575000,2 ,1.0,903 ,74,38,78,69,4.0,Active,Condo,1970,0.0,637.0,0
622,196 S Cragmont Ave,San jose,Ca,95127,929900,3 ,3.0,1143 ,22,0,34,63,1.0,Active,Single Family Home,1938,7047.0,814.0,0
623,544 Fort Laramie Dr,Sunnyvale,Ca,94087,2998000,5 ,3.0,2561 ,48,35,77,81,6.0,Active,Single Family Home,1965,0.0,1171.0,1
624,1758 Bel Air Ave,San jose,Ca,95126,1679000,3 ,2.0,1792 ,65,43,71,61,5.0,Active,Single Family Home,1948,7564.0,937.0,1
625,5486 Mary Jo Ct,San jose,Ca,95124,2485000,3 ,2.0,1801 ,46,25,54,82,7.0,Active,Single Family Home,1959,10882.0,1380.0,1
626,5802 Cohasset Way,San jose,Ca,95123,1585000,5 ,2.5,2487 ,65,48,60,89,3.0,Active,Single Family Home,1966,5138.0,637.0,1
627,2030 Cove Ct,San jose,Ca,95148,1299000,4 ,2.5,2078 ,26,38,59,78,3.0,Active,Single Family Home,1975,6588.0,625.0,1
628,1250 Elkwood Dr,Milpitas,Ca,95035,1249999,4 ,2.5,1867 ,47,37,61,85,8.0,Active,Single Family Home,1991,3221.0,670.0,1
629,1520 E Capitol Expy #19,San jose,Ca,95121,188888,3 ,2.0,1200 ,33,39,59,0,5.0,Active,Double-Wide Mobile Home,1971,0.0,157.0,0
630,3583 Lupine Ave,Palo alto,Ca,94303,2550000,3 ,2.0,1412 ,48,27,93,91,8.0,Active,Single Family Home,1956,8486.0,1806.0,1
631,2798 Sand Point Ct,San jose,Ca,95148,1100000,3 ,2.0,1472 ,57,52,57,78,6.0,Active,Single Family Home,1970,6840.0,747.0,1
632,3391 Thomas Dr,Palo alto,Ca,94303,3400000,4 ,2.0,2032 ,31,24,82,91,8.0,Active,Single Family Home,1958,6825.0,1673.0,1
633,305 Destino Cir,San jose,Ca,95133,975000,3 ,2.5,1663 ,67,50,51,78,3.0,Active,Townhouse,2006,1280.0,586.0,0
634,365 N Third St #2,Campbell,Ca,95008,688800,2 ,1.0,903 ,85,47,87,72,4.0,Active,Condo,1971,0.0,763.0,0
635,160 Kellogg Ave,Palo alto,Ca,94301,4995000,4 ,3.0,2697 ,73,43,100,86,7.0,Active,Single Family Home,1992,7500.0,1852.0,1
636,38 N Almaden Blvd #1313,San jose,Ca,95110,749888,1 ,1.0,975 ,88,72,90,61,4.0,New,Condo,2008,164.0,769.0,0
637,2085 Lynnhaven Dr,San jose,Ca,95128,1400000,4 ,1.0,1659 ,69,46,71,78,4.0,Active,Duplex,1954,7070.0,844.0,1
638,401 Ann Darling Dr,San jose,Ca,95133,999000,3 ,2.0,1081 ,71,48,54,78,3.0,Active,Single Family Home,1957,6619.0,924.0,0
639,275 S 20th St,San jose,Ca,95116,799000,2 ,1.0,856 ,82,52,83,78,3.0,Active,Single Family Home,1901,4826.0,933.0,0
640,241 Horizon Ave,Mountain view,Ca,94043,1248000,2 ,1.5,1274 ,91,53,98,74,6.0,Active,Townhouse,1973,0.0,980.0,1
641,1526 Parkmont Dr,San jose,Ca,95131,1650000,3 ,2.5,1509 ,76,43,62,78,5.0,Active,Single Family Home,1993,4016.0,1093.0,1
642,451 Alberto Way #247,Los gatos,Ca,95032,699000,2 ,2.0,1136 ,51,0,51,76,9.0,Active,Condo,1978,0.0,615.0,0
643,578 Vista Ave,Palo alto,Ca,94306,749000,1 ,1.0,562 ,83,41,93,90,8.0,Active,Condo,1978,570.0,1333.0,0
644,1250 Petersen Ct,Los altos,Ca,94024,3398000,4 ,2.5,2252 ,29,22,69,85,9.0,Active,Single Family Home,1969,0.0,1509.0,1
645,16010 Stephenie Ln,Los gatos,Ca,95032,2998000,4 ,3.5,2845 ,40,0,60,54,9.0,Active,Single Family Home,2009,0.0,1054.0,1
646,1166 Emerson Ave,Campbell,Ca,95008,1199000,3 ,1.0,1072 ,49,34,76,92,7.0,Active,Single Family Home,1955,8468.0,1118.0,1
647,370 Ronan Ave,Gilroy,Ca,95020,770000,3 ,2.0,1269 ,48,0,72,48,5.0,Active,Single Family Home,1979,4700.0,607.0,0
648,1160 Lily Ave,Sunnyvale,Ca,94086,1698000,3 ,2.0,1148 ,50,32,69,76,7.0,Active,Single Family Home,1955,5406.0,1479.0,1
649,2076 Kent Dr,Los altos,Ca,94024,3798000,4 ,2.0,1858 ,22,21,31,91,9.0,Active,Single Family Home,1962,0.0,2044.0,1
650,17530 Montoya Cir,Morgan hill,Ca,95037,1299000,4 ,3.0,2560 ,43,33,52,50,5.0,Active,Single Family Home,1990,4432.0,507.0,1
651,1377 Pritchett Ct,Los altos,Ca,94024,3998000,6 ,3.5,2917 ,21,23,65,89,9.0,Active,Single Family Home,1971,9844.0,1371.0,1
652,4177 Barrymore Dr,San jose,Ca,95117,1400000,4 ,2.5,2114 ,69,40,75,78,5.0,Active,Single Family Home,1954,10244.0,662.0,1
653,2121 Main St,Santa clara,Ca,95050,1228000,3 ,2.5,1622 ,61,38,64,74,3.0,Active,Triplex,1962,7020.0,757.0,1
654,314 Vista Roma Way,San jose,Ca,95136,1098000,3 ,2.5,1674 ,72,47,59,60,5.0,Active,Townhouse,2005,801.0,656.0,1
655,1690 Edgewood Dr,Palo alto,Ca,94303,4995000,5 ,3.0,2995 ,48,33,73,63,8.0,Active,Single Family Home,2014,10309.0,1668.0,1
656,494 Nerdy Ave,San jose,Ca,95111,925000,3 ,2.0,1113 ,60,50,70,78,2.0,Active,Single Family Home,1958,5014.0,831.0,0
657,15132 Esther Dr,San jose,Ca,95124,3498000,5 ,4.0,3012 ,36,35,44,93,9.0,Active,Single Family Home,2023,9450.0,1161.0,1
658,536 Hawthorn Ave,Sunnyvale,Ca,94086,1998000,3 ,2.0,1360 ,68,45,90,76,5.0,Active,Single Family Home,1967,0.0,1469.0,1
659,772 & 776 S 2nd St,San jose,Ca,95112,2550000,6 ,5.0,4998 ,88,58,92,0,3.0,Active,5+ Units,1898,10018.0,510.0,1
660,1220 Tasman Dr #571,Sunnyvale,Ca,94089,329800,3 ,2.0,1543 ,52,52,84,0,6.0,Active,Double-Wide Mobile Home,2000,0.0,214.0,0
661,1967 Cabana Dr,San jose,Ca,95125,2715000,3 ,3.0,1985 ,37,40,50,65,5.0,Active,Single Family Home,1953,10125.0,1368.0,1
662,16805 San Dimas Ln,Morgan hill,Ca,95037,1200000,3 ,2.5,2187 ,49,25,58,50,5.0,Active,Single Family Home,2014,4054.0,549.0,1
663,600 S Abel St #404,Milpitas,Ca,95035,849999,2 ,2.0,1259 ,82,47,77,90,7.0,Active,Condo,2007,0.0,675.0,0
664,1424 Millich Ct,San jose,Ca,95117,949995,2 ,1.5,1220 ,43,38,71,60,6.0,Active,Townhouse,1972,1282.0,779.0,0
665,73 3rd St #17,Los altos,Ca,94022,1450000,2 ,1.5,1072 ,89,27,97,74,9.0,Active,Condo,1974,0.0,1353.0,1
666,763 Cereza Dr,Palo alto,Ca,94306,2995000,3 ,2.5,1627 ,69,41,92,90,8.0,Active,Single Family Home,1956,8675.0,1841.0,1
