,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,1st School Rating,status,house_type,year_built,Lotsize,perSq_Ft,Price_Level
240,342 Marina Blvd,San leandro,Ca,94577,1500000,2 ,1.0,808 ,81,59,84,74,5.0,Active,Single Family Home,1882,0.0,1856.0,1
241,544 Marlin Ct,Hayward,Ca,94544,798888,3 ,2.5,1610 ,67,48,52,63,2.0,Active,Townhouse,1979,2800.0,496.0,0
242,1903 Bonita #3,Berkeley,Ca,94704,348000,1 ,1.0,205 ,98,71,96,85,8.0,Active,Condo,1914,2983.0,1698.0,0
243,43678 SKYE Rd,Fremont,Ca,94539,2399888,5 ,3.0,2907 ,5,29,28,92,9.0,Active,Single Family Residential,1988,6336.0,826.0,1
244,804 Crocus Dr,San leandro,Ca,94578,750000,3 ,2.0,1916 ,62,60,53,80,6.0,Active,Single Family Residential,1978,6087.0,391.0,0
245,576 Begier Ave,San leandro,Ca,94577,995000,3 ,1.5,1777 ,77,53,73,98,4.0,Active,Single Family Residential,1936,4440.0,560.0,0
246,2142 64th Ave,Oakland,Ca,94621,475000,2 ,1.0,1044 ,72,59,57,71,3.0,Active,Single Family Home,1924,3800.0,455.0,0
247,35447 Monterra Cir,Union city,Ca,94587,541632,2 ,2.5,1294 ,72,0,53,83,4.0,Active,Townhouse,2001,5904.0,419.0,0
248,6105 San Pablo Ave #102,Oakland,Ca,94608,598000,1 ,1.5,965 ,94,59,83,69,4.0,Active,Condo,2018,0.0,620.0,0
249,6157 Ruthland Rd,Oakland,Ca,94611-1835,1798000,4 ,2.5,2458 ,21,26,27,79,8.0,Active,Single Family Residential,1996,5400.0,731.0,1
250,1217 Burkhart Ave,San leandro,Ca,94579,889000,3 ,1.0,1095 ,74,34,58,79,5.0,Active,Single Family Home,1950,6250.0,812.0,0
251,311 Oak #115,Oakland,Ca,94607,898800,1 ,2.0,2052 ,92,83,89,51,8.0,Active,Condo,2003,0.0,438.0,0
252,5617 Byington Dr,Newark,Ca,94560,2280000,4 ,3.0,3148 ,73,0,50,82,7.0,Active,Single Family Residential,2001,7627.0,724.0,1
253,6221 Chabot Rd,Oakland,Ca,94618,2395000,4 ,3.5,2212 ,92,60,76,89,8.0,Active,Single Family Residential,1916,4960.0,1083.0,1
254,2339 64Th Ave,Oakland,Ca,94605,519000,3 ,1.0,1517 ,72,56,59,71,3.0,Active,Single Family Residential,1924,3800.0,342.0,0
255,438 W Grand Ave #426,Oakland,Ca,94612,879000,2 ,2.5,1471 ,99,78,96,73,2.0,Active,Condo,2008,1256.0,598.0,0
256,5284 Peony Dr,Livermore,Ca,94551,989000,3 ,2.0,1306 ,27,0,57,75,7.0,Active,Single Family Residential,1963,5066.0,757.0,0
257,2579 Walker Pl,Livermore,Ca,94550,1899950,5 ,2.0,2300 ,16,0,48,73,8.0,Active,Single Family Residential,1973,0.0,826.0,1
258,832 Taylor Ave,Alameda,Ca,94501,1299000,7 ,3.0,3000 ,90,49,84,81,8.0,Active,Multi-Family (2-4 Unit),1878,7400.0,433.0,1
259,Undisclosed Address,Oakland,Ca,94609,749000,4 ,1.0,740 ,93,63,91,89,4.0,Active,Single Family Residential,1912,3000.0,1012.0,0
260,8010 SURREY Ln,Oakland,Ca,94605-4225,1250000,4 ,2.0,1800 ,15,16,11,82,4.0,Active,Single Family Residential,1971,0.0,694.0,1
261,786 Euclid Ave,Berkeley,Ca,94708,1785000,3 ,2.5,2136 ,35,42,34,92,8.0,Active,Single Family Residential,1970,5950.0,836.0,1
262,3538 Hageman Ave,Oakland,Ca,94619,1199000,8 ,6.0,3806 ,68,52,69,73,3.0,Active,Multi-Family (2-4 Unit),1993,4002.0,315.0,1
263,1516 Olympus Ave,Berkeley,Ca,94708,1695000,4 ,3.0,2682 ,22,42,30,93,6.0,Active,Single Family Residential,1980,5636.0,632.0,1
264,1406 Via Buena Vis,San lorenzo,Ca,94580,849900,3 ,1.0,1325 ,30,34,42,81,3.0,Active,Single Family Residential,1951,7816.0,641.0,0
265,16500 Severn Rd,San leandro,Ca,94578,925000,3 ,2.5,1632 ,40,32,13,75,6.0,Active,Single Family Residential,1965,5820.0,567.0,0
266,3618 Macarthur Blvd,Oakland,Ca,94619,898000,4 ,3.0,1769 ,90,51,68,82,4.0,Active,Single Family Home,1923,3990.0,508.0,0
267,471 North St,Oakland,Ca,94609,1025000,2 ,1.0,1421 ,89,66,99,70,7.0,Active,Single Family Residential,1914,4160.0,721.0,1
268,1045 56Th St,Oakland,Ca,94608,785000,2 ,2.0,1275 ,91,60,98,77,4.0,Active,Single Family Residential,1926,2639.0,616.0,0
269,1206 Grand St,Alameda,Ca,94501,1495000,4 ,2.0,1924 ,85,47,83,78,7.0,Active,Single Family Residential,1904,4140.0,777.0,1
270,5301 Masonic Ave,Oakland,Ca,94618,899000,3 ,1.5,1550 ,28,31,25,79,7.0,Active,Single Family Residential,1955,6420.0,580.0,0
271,1114 Jason Creek Pl,Hayward,Ca,94544,1659000,5 ,4.0,3337 ,92,64,61,88,5.0,Active,Single Family Residential,2023,4892.0,497.0,1
272,2027 Pacific Ave,Alameda,Ca,94501,1399000,7 ,4.0,3197 ,86,48,75,84,6.0,Active,Triplex,1892,7324.0,438.0,1
273,5291 BELVEDERE St,Oakland,Ca,94601,995000,5 ,2.5,2911 ,83,53,48,71,1.0,Active,Single Family Residential,1930,5200.0,342.0,0
274,4229 Fruitvale Ave,Oakland,Ca,94602,1279000,3 ,2.0,1657 ,38,37,23,79,7.0,Active,Single Family Residential,1948,5456.0,772.0,1
275,2058 Rutherford Ln,Fremont,Ca,94539,4350000,6 ,7.0,5519 ,2,27,5,87,9.0,Active,Single Family Residential,2000,0.0,788.0,1
276,2919 Delaware St,Oakland,Ca,94602,599000,4 ,2.5,1828 ,85,55,44,73,2.0,Active,Single Family Residential,1910,4000.0,328.0,0
277,120 Glenwood Glade,Oakland,Ca,94611-1913,1049000,3 ,1.5,1792 ,31,26,27,79,8.0,Active,Single Family Residential,1931,6490.0,585.0,1
278,1410 Lincoln,Berkeley,Ca,94702,1099000,2 ,1.0,1285 ,82,66,98,74,8.0,Active,Single Family Residential,1939,3870.0,855.0,1
279,4016 Coolidge Ave,Oakland,Ca,94602,899000,2 ,1.0,952 ,62,50,39,92,7.0,Active,Single Family Residential,1964,6193.0,944.0,0
280,44 Bowling Dr,Oakland,Ca,94618,1985000,4 ,3.0,3550 ,59,51,49,79,7.0,Active,Single Family Residential,1936,10010.0,559.0,1
281,5625 Buena Vista Ave,Oakland,Ca,94618,1695000,3 ,2.0,1954 ,54,44,63,79,8.0,Active,Single Family Residential,1927,6820.0,867.0,1
282,143 Fagundes St,Hayward,Ca,94544,1175000,8 ,5.0,3638 ,75,37,58,75,3.0,Active,Single Family Residential,1980,6050.0,323.0,1
283,1240 Via Nube,San lorenzo,Ca,94580,750000,3 ,1.0,1043 ,15,38,45,81,3.0,Active,Single Family Residential,1950,5049.0,719.0,0
284,6400 Christie Ave #5323,Emeryville,Ca,94608,678888,2 ,2.0,1104 ,86,0,93,69,3.0,Active,Condo,1988,0.0,615.0,0
285,2952 Claremont Blvd,Berkeley,Ca,94705,2795000,4 ,3.5,2873 ,87,53,68,79,7.0,Active,Single Family Residential,1915,6850.0,973.0,1
286,1334 Kains Ave,Berkeley,Ca,94702,1399000,3 ,2.5,1596 ,93,60,99,74,8.0,Active,Single Family Residential,1912,3800.0,877.0,1
287,152 Lombard St Unit 507G,San francisco,Ca,94111,1099000,2 ,2.0,1206 ,90,79,64,35,7.0,Coming Soon,Condo,1975,0.0,911.0,1
288,3620 Cesar Chavez #104,San francisco,Ca,94110,699000,1 ,1.0,743 ,98,83,94,56,7.0,Active,Condo,2020,0.0,941.0,0
289,3817 Folsom St,San francisco,Ca,94110,2295000,4 ,3.0,2088 ,93,75,63,56,3.0,Active,Single Family Residential,1923,1751.0,1099.0,1
290,3583 Sacramento St,San francisco,Ca,94118,1995000,3 ,2.0,1437.0,95,68,83,45,9.0,Active,Condo,1907,0.0,0.0,1
291,955 Clayton St #4,San francisco,Ca,94117,1550000,2 ,2.0,1479 ,96,72,66,45,7.0,Active,Condo,1904,8397.0,1048.0,1
292,624 - A Guerrero St,San francisco,Ca,94110,1195000,2 ,1.5,1204 ,98,93,92,67,7.0,Active,Condo,1906,3500.0,993.0,1
293,1825 Turk St #2,San francisco,Ca,94115,1275000,3 ,2.0,1272 ,97,76,84,45,9.0,Active,Condo,1988,4903.0,1002.0,1
294,486 Ralston St,San francisco,Ca,94132,998950,2 ,1.0,1100 ,72,68,50,67,9.0,Active,Single Family Residential,1925,2495.0,908.0,0
295,10 Seal Rock Dr,San francisco,Ca,94121,1058000,2 ,3.0,1480 ,75,61,65,55,9.0,Active,Single Family Residential,1941,1968.0,715.0,1
296,320 30th Ave,San francisco,Ca,94121,2080000,3 ,3.5,1771 ,92,64,80,45,8.0,New,Condo,2023,3000.0,1174.0,1
297,318 30th Ave,San francisco,Ca,94121,2290000,3 ,3.5,2334 ,92,64,80,45,8.0,New,Condo,2023,3000.0,981.0,1
298,2363 Larkin St #31,San francisco,Ca,94109,950000,1 ,1.0,840 ,98,83,68,20,9.0,Active,Condo,1923,4952.0,1131.0,0
299,22 Caine Ave,San francisco,Ca,94112,988000,2 ,1.0,1226 ,71,88,44,67,7.0,Active,Single Family Residential,1912,2500.0,806.0,0
300,1225 - 1229 Rhode Island St,San francisco,Ca,94107,1769000,5 ,2.0,2119 ,88,70,74,56,6.0,Active,Multi-Family (2-4 Unit),1911,2500.0,835.0,1
301,115 Plymouth Ave Unit C,San francisco,Ca,94112,948000,4 ,2.0,2240 ,85,78,56,67,4.0,Active,Condo,2022,3500.0,423.0,0
302,1388 Gough St #903,San francisco,Ca,94109,1065000,2 ,2.0,1192 ,99,91,82,45,6.0,Active,Condo,1993,0.0,893.0,1
303,115 Plymouth Ave Unit B,San francisco,Ca,94112,828000,3 ,2.0,1120 ,85,78,56,67,4.0,Active,Condo,2022,3500.0,739.0,0
